Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Extended_Platform_Name
Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31,61.0,20.0,7.3,28.0,M,Play Station 2
[Prototype],X360,2009,Action,Activision,0.84,0.35,0.0,0.12,1.31,78.0,83.0,7.8,357.0,M,Xbox 360
Skylanders Giants,X360,2012,Action,Activision,0.76,0.44,0.0,0.11,1.31,80.0,35.0,6.6,39.0,E10+,Xbox 360
Burnout 3: Takedown,X,2004,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31,94.0,76.0,7.2,139.0,T,Xbox
The Beatles: Rock Band,X360,2009,Misc,MTV Games,0.97,0.23,0.0,0.11,1.3,89.0,76.0,8.6,127.0,T,Xbox 360
Adventure,2600,1980,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,,,,,,Atari 2600
Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,,,,,,Game Boy Advance
NBA Live 07,PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,63.0,12.0,6.0,39.0,E,Play Station 2
SingStar 80s,PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3,78.0,22.0,8.3,6.0,T,Play Station 2
Romancing SaGa 3,SNES,1995,Role-Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3,,,,,,Super Nintendo Entertainment System
Test Drive 5,PS,1997,Racing,Accolade,1.05,0.2,0.0,0.05,1.3,,,,,,Play Station
Crysis 2,PS3,2011,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.3,85.0,54.0,7.2,407.0,M,Play Station 3
Tekken 6,X360,2009,Fighting,Namco Bandai Games,0.71,0.41,0.05,0.12,1.3,80.0,59.0,7.0,133.0,T,Xbox 360
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,1.1,0.06,0.0,0.14,1.3,90.0,17.0,6.0,98.0,E,Xbox One
Digimon World,PS,1999,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3,,,,,,Play Station
Namco Museum DS,DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.3,67.0,19.0,5.9,8.0,E,Nintendo DS
LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.39,0.0,0.19,1.3,75.0,24.0,7.7,33.0,E10+,Play Station 3
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.3,68.0,25.0,8.3,26.0,E,Nintendo DS
Assassins Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.57,0.06,0.2,1.29,72.0,53.0,7.5,294.0,M,Play Station 3
Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29,,,,,,Game Boy Advance
High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios,0.67,0.49,0.0,0.13,1.29,,,,,,Nintendo Wii
Resident Evil Zero,GC,2002,Action,Capcom,0.54,0.27,0.45,0.04,1.29,,,,,,GameCube
Sonic Colors,DS,2010,Platform,Sega,0.69,0.47,0.01,0.12,1.29,79.0,26.0,7.9,68.0,E,Nintendo DS
Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.74,0.05,0.43,0.07,1.29,,,,,,Nintendo DS
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29,49.0,10.0,6.2,5.0,E,Game Boy Advance
Deal or No Deal,Wii,2009,Misc,Zoo Games,1.2,0.0,0.0,0.09,1.29,56.0,4.0,5.0,5.0,E,Nintendo Wii
Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,75.0,51.0,8.6,27.0,T,Play Station 2
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.49,0.0,0.11,1.29,69.0,8.0,7.2,26.0,E10+,Xbox 360
EA Playground,Wii,2007,Sports,Electronic Arts,0.68,0.47,0.0,0.13,1.29,66.0,32.0,7.6,30.0,E,Nintendo Wii
Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Take-Two Interactive,1.22,0.05,0.0,0.01,1.29,,,,,,Play Station 2
Golds Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.1,0.03,0.06,0.09,1.28,,,8.4,13.0,E,Nintendo Wii
Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,85.0,51.0,8.5,59.0,T,Play Station 2
LEGO Batman: The Videogame,PSP,2008,Action,Warner Bros. Interactive Entertainment,0.57,0.44,0.0,0.27,1.28,73.0,5.0,7.4,10.0,E10+,Play Station Portable
Yakuman,G,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,,,,,,Game Boy
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.28,91.0,69.0,8.1,1112.0,T,Play Station 3
Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft,0.55,0.59,0.0,0.14,1.28,,,,,E,Nintendo DS
Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0.0,0.04,1.28,,,,,,Play Station
Twisted Metal 4,PS,1999,Racing,989 Studios,1.07,0.16,0.0,0.04,1.28,,,,,,Play Station
Manhunt,PS2,2003,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,76.0,47.0,8.3,137.0,M,Play Station 2
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,67.0,21.0,7.3,26.0,E10+,Nintendo Wii
Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,89.0,34.0,9.0,565.0,M,Play Station 2
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,59.0,46.0,6.3,135.0,E,Nintendo 3DS
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,93.0,12.0,9.4,362.0,T,Play Station
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.03,0.14,0.0,0.1,1.27,73.0,16.0,7.2,19.0,T,Nintendo Wii
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,83.0,75.0,8.7,487.0,E10+,Nintendo 3DS
The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,76.0,31.0,6.6,71.0,T,PC
LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0.0,0.52,1.27,77.0,8.0,8.9,17.0,E10+,Play Station 2
Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27,,,,,,Play Station
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75.0,70.0,6.2,1318.0,M,Play Station 4
Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27,,,,,,Atari 2600
NBA 2K9,X360,2008,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,84.0,32.0,7.2,44.0,E,Xbox 360
Tony Hawks Underground,X,2003,Sports,Activision,0.85,0.37,0.0,0.05,1.27,85.0,33.0,9.1,26.0,T,Xbox
Hogans Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,,,,,,Nintendo Entertainment System
Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,0.75,0.39,0.0,0.12,1.27,65.0,28.0,,,E,Nintendo DS
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75.0,35.0,8.5,60.0,T,Play Station 2
Jillian Michaels Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0.0,0.11,1.27,30.0,4.0,2.0,23.0,E,Nintendo Wii
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,0.71,0.19,0.24,0.13,1.27,86.0,60.0,8.6,434.0,T,Play Station 3
LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,0.78,0.37,0.0,0.12,1.27,65.0,29.0,8.9,51.0,E,Nintendo DS
WWE 12,X360,2011,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,71.0,52.0,6.3,90.0,T,Xbox 360
Sonic Adventure DX: Directors Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27,57.0,27.0,7.9,140.0,E,GameCube
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.36,0.32,0.16,1.27,85.0,50.0,8.5,335.0,T,Play Station 3
Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0.0,0.16,1.27,,,,,,Play Station 2
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,69.0,4.0,6.3,4.0,T,Play Station
WWE 13,X360,2012,Action,THQ,0.72,0.44,0.0,0.11,1.27,78.0,46.0,8.0,110.0,T,Xbox 360
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,80.0,6.0,5.0,124.0,E10+,Play Station 3
Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.42,0.01,0.11,1.27,,,5.0,334.0,M,Xbox 360
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.76,0.39,0.0,0.11,1.26,79.0,8.0,8.1,22.0,E,Nintendo Wii
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0.0,0.15,1.26,68.0,36.0,5.8,21.0,E,Nintendo Wii
Devil Dice,PS,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26,,,,,,Play Station
Football Manager 2011,PC,2010,Sports,Sega,0.0,1.01,0.0,0.25,1.26,85.0,23.0,8.4,79.0,E,PC
Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26,,,,,,PC
Brian Lara Cricket,PS,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26,,,,,,Play Station
Saints Row IV,PS3,2013,Action,Deep Silver,0.57,0.41,0.09,0.19,1.26,76.0,26.0,6.3,278.0,M,Play Station 3
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,59.0,20.0,7.7,6.0,E,Nintendo DS
Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,0.99,0.22,0.0,0.04,1.26,,,,,,Play Station
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.57,0.4,0.19,0.09,1.26,81.0,78.0,8.6,378.0,E,Nintendo Wii U
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.45,0.55,0.05,0.22,1.26,75.0,42.0,7.2,167.0,T,Play Station 3
Kung Fu Panda,DS,2008,Action,Activision,0.56,0.56,0.0,0.14,1.25,,,,,,Nintendo DS
LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.35,0.61,0.02,0.27,1.25,88.0,71.0,8.6,351.0,E,Play Station Vita
NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25,86.0,10.0,8.0,6.0,E,Play Station
LEGO Harry Potter: Years 5-7,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.7,0.43,0.0,0.12,1.25,76.0,8.0,7.8,13.0,E10+,Nintendo Wii
Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0.0,0.01,0.75,1.25,68.0,7.0,7.4,34.0,T,Play Station 2
Combat,2600,1977,Action,Atari,1.17,0.07,0.0,0.01,1.25,,,,,,Atari 2600
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.16,0.02,0.13,1.25,63.0,64.0,6.9,223.0,M,Play Station 3
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25,,,,,,Nintendo Entertainment System
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25,,,,,,Nintendo Entertainment System
Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25,,,,,,Play Station
Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1.0,0.13,0.02,0.1,1.25,83.0,54.0,8.4,135.0,T,Xbox 360
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,64.0,27.0,8.2,78.0,E,GameCube
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,79.0,62.0,8.4,195.0,M,Play Station 2
Tom Clancys Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25,86.0,32.0,7.6,81.0,M,Play Station 3
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0.0,0.0,1.25,74.0,22.0,8.6,137.0,E,PC
Ratatouille,DS,2007,Action,THQ,0.49,0.62,0.0,0.14,1.25,,,,,,Nintendo DS
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0.0,0.16,1.25,52.0,37.0,6.2,107.0,T,Play Station 2
Tom Clancys Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0.0,0.17,1.25,87.0,45.0,8.6,34.0,T,Play Station 2
Road Rash 3D,PS,1998,Racing,Electronic Arts,1.05,0.16,0.0,0.04,1.25,,,,,,Play Station
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,81.0,51.0,8.9,155.0,T,Play Station 2
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.67,0.0,0.12,1.24,52.0,15.0,6.8,4.0,E,Nintendo Wii
Baldurs Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0.48,0.0,0.16,1.24,87.0,29.0,8.3,90.0,T,Play Station 2
Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.52,0.36,0.18,0.18,1.24,,,,,,Play Station 3
Oddworld: Abes Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,85.0,10.0,9.0,97.0,T,Play Station
FIFA Street,PS3,2012,Sports,Electronic Arts,0.12,0.89,0.0,0.23,1.24,76.0,36.0,6.4,66.0,E,Play Station 3
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78.0,20.0,7.7,6.0,E,Play Station 2
Super Mario Maker,3DS,2016,Platform,Nintendo,0.3,0.44,0.43,0.06,1.24,,,,,,Nintendo 3DS
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0.0,0.0,0.55,1.24,78.0,9.0,6.9,34.0,T,Play Station 2
Tetris 2 (All region sales),G,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,,,,,,Game Boy
Star Wars Episode III: Revenge of the Sith,X,2005,Action,Activision,0.82,0.38,0.0,0.04,1.24,61.0,44.0,8.1,54.0,T,Xbox
[Prototype],PS3,2009,Action,Activision,0.65,0.4,0.0,0.19,1.24,79.0,53.0,7.7,308.0,M,Play Station 3
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.64,0.49,0.0,0.11,1.24,80.0,49.0,8.5,74.0,E10+,Xbox 360
Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.02,0.0,0.09,1.24,,,,,,Nintendo DS
Assassins Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24,63.0,38.0,7.1,70.0,M,Play Station Portable
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.59,0.42,0.13,0.1,1.23,76.0,81.0,8.3,664.0,T,Nintendo Wii U
Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23,32.0,6.0,4.6,29.0,E,Play Station 2
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.42,0.62,0.0,0.2,1.23,73.0,47.0,7.4,238.0,T,Play Station 4
Ninja Gaiden,X,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,91.0,89.0,8.8,152.0,M,Xbox
Cars 2,DS,2011,Racing,Disney Interactive Studios,0.68,0.4,0.04,0.11,1.23,,,,,,Nintendo DS
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.45,0.49,0.11,0.19,1.23,79.0,60.0,8.3,208.0,T,Play Station 4
Crash Bandicoot: The Wrath of Cortex,X,2002,Platform,Universal Interactive,0.59,0.57,0.0,0.07,1.23,70.0,16.0,8.1,19.0,E,Xbox
Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0.0,0.16,1.23,57.0,51.0,5.5,102.0,M,Play Station 2
Disney's Tarzan / Disney's Aladdin in Nasiras Revenge / Disney's The Emperors New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23,,,,,,Play Station
Kirby Tilt n Tumble,G,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,,,,,,Game Boy
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,0.88,0.33,0.0,0.02,1.23,,,7.3,6.0,E,Game Boy Advance
Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0.0,0.08,1.23,,,,,,Play Station
Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,,,,,,Nintendo Entertainment System
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,80.0,22.0,8.8,39.0,E,Game Boy Advance
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1.0,0.13,0.0,0.1,1.23,70.0,59.0,6.7,48.0,T,Xbox 360
"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23,,,,,,Game Boy Advance
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75.0,31.0,7.3,43.0,E10+,Play Station 3
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.54,0.55,0.0,0.13,1.23,63.0,6.0,7.7,9.0,E10+,Nintendo Wii
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.4,0.74,0.0,0.09,1.23,96.0,57.0,7.9,3826.0,M,PC
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82.0,56.0,7.8,58.0,E,Play Station 3
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.18,0.67,0.09,1.22,78.0,65.0,8.2,468.0,T,Play Station 3
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.09,0.03,0.0,0.09,1.22,63.0,39.0,7.5,27.0,E,Nintendo DS
Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,80.0,43.0,8.5,48.0,E,GameCube
Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22,,,,,,Play Station
Game & Watch Gallery 2,G,1997,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22,,,,,,Game Boy
Game & Watch Gallery 3,G,1999,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22,,,,,,Game Boy
Pac-Man,NES,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,,,,,,Nintendo Entertainment System
Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22,,,,,,Play Station 2
NBA Live 99,PS,1997,Sports,Electronic Arts,1.13,0.05,0.0,0.03,1.22,,,,,,Play Station
Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,0.0,0.0,1.14,0.08,1.22,,,,,,Play Station
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,86.0,29.0,9.5,150.0,E,Game Boy Advance
SimCity 2000,PS,1996,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22,,,,,,Play Station
Max Payne,X,2001,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,89.0,24.0,8.1,62.0,M,Xbox
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.73,0.37,0.01,0.11,1.22,71.0,27.0,5.1,299.0,M,Xbox One
WCW Mayhem,PS,1998,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22,,,,,,Play Station
NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22,89.0,19.0,7.8,16.0,E,Play Station 2
NASCAR Thunder 2003,PS2,2002,Racing,Electronic Arts,0.6,0.46,0.0,0.16,1.22,84.0,16.0,8.7,17.0,E,Play Station 2
Cars,PS2,2006,Racing,THQ,1.01,0.04,0.0,0.16,1.21,71.0,30.0,8.4,12.0,E,Play Station 2
Fuzion Frenzy,X,2001,Misc,Microsoft Game Studios,0.93,0.24,0.0,0.04,1.21,70.0,28.0,6.9,16.0,E,Xbox
Call of Duty: Finest Hour,X,2004,Shooter,Activision,0.78,0.4,0.0,0.04,1.21,73.0,55.0,7.8,22.0,T,Xbox
Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.04,0.62,0.05,1.21,85.0,52.0,7.7,167.0,E10+,Nintendo DS
Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1.05,0.05,0.01,0.1,1.21,69.0,22.0,8.5,111.0,T,Play Station Portable
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.21,85.0,69.0,8.1,207.0,T,Nintendo 3DS
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,1.21,86.0,41.0,8.6,185.0,E,Play Station 2
The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,0.66,0.17,0.35,0.03,1.21,,,,,,Super Nintendo Entertainment System
Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,0.66,0.48,0.01,0.06,1.21,,,,,,Play Station
Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,86.0,13.0,9.0,94.0,M,Play Station
Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01,1.21,,,,,,Play Station
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.46,0.15,0.18,1.21,76.0,34.0,8.3,131.0,T,Play Station 3
Need for Speed Underground,GC,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,83.0,24.0,8.8,46.0,E,GameCube
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.69,0.03,0.25,1.21,75.0,16.0,7.6,40.0,T,Play Station 3
Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,Activision,0.87,0.32,0.0,0.02,1.21,,,,,,Game Boy Advance
FIFA Soccer 07,PSP,2006,Sports,Electronic Arts,0.25,0.64,0.0,0.32,1.21,,,,,,Play Station Portable
Bayonetta,PS3,2009,Action,Sega,0.44,0.39,0.21,0.16,1.21,87.0,54.0,7.7,356.0,M,Play Station 3
Test Drive 4,PS,1997,Racing,Electronic Arts,0.67,0.46,0.0,0.08,1.21,,,,,,Play Station
Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.71,0.38,0.0,0.12,1.21,85.0,61.0,8.6,105.0,E,Nintendo Wii
Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.05,0.0,0.07,1.21,,,,,,PC
World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0,1.2,,,,,,Play Station Portable
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.44,0.63,0.0,0.14,1.2,73.0,19.0,8.2,10.0,T,Nintendo Wii
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,0.59,0.46,0.0,0.15,1.2,59.0,19.0,5.1,20.0,T,Play Station 2
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.86,0.23,0.0,0.12,1.2,89.0,11.0,5.2,393.0,T,Xbox One
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,78.0,37.0,8.4,16.0,E,Play Station 2
F1 2011,PS3,2011,Racing,Codemasters,0.12,0.74,0.11,0.24,1.2,82.0,36.0,7.1,57.0,E,Play Station 3
Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,90.0,54.0,9.1,140.0,E,GameCube
SolarStriker,G,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,,,,,,Game Boy
TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,,,,,,Nintendo Entertainment System
Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,,,,,,Nintendo Entertainment System
NFL 2K,DC,1999,Sports,Sega,1.12,0.05,0.0,0.02,1.2,,,,,,Sega Dreamcast
Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2,,,,,,Super Nintendo Entertainment System
LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.51,0.0,0.2,1.2,81.0,28.0,7.5,81.0,E10+,Play Station 3
Cars,PSP,2006,Racing,THQ,0.72,0.28,0.0,0.2,1.2,70.0,17.0,7.0,4.0,E,Play Station Portable
Enter the Matrix,X,2003,Action,Atari,0.72,0.43,0.01,0.04,1.2,65.0,33.0,7.1,75.0,T,Xbox
FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,0.13,0.69,0.01,0.36,1.2,68.0,6.0,5.4,9.0,E,Play Station Portable
NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,92.0,22.0,8.5,26.0,E,Play Station 2
Nuclear Strike,PS,1997,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,,,,,,Play Station
The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0.0,0.02,1.19,55.0,14.0,6.8,9.0,E,Game Boy Advance
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,0.92,0.23,0.0,0.04,1.19,71.0,4.0,7.7,7.0,E,Game Boy Advance
Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,83.0,19.0,8.4,43.0,E,Nintendo Wii
Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,0.99,0.04,0.0,0.16,1.19,75.0,46.0,8.6,113.0,M,Play Station 2
Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,,,,,,Nintendo 64
Disney's Chip n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,,,,,,Nintendo Entertainment System
